Time (s),Rotation [X axis] (degrees/s),Rotation [Y axis] (degrees/s),Rotation [Z axis] (degrees/s),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Acceleration [X axis] (m/s^2),Acceleration [Y axis] (m/s^2),Acceleration [Z axis] (m/s^2),Magnetic Flux Density [X axis] (micro-Tesla),Magnetic Flux Density [Y axis] (micro-Tesla),Magnetic Flux Density [Z axis] (micro-Tesla),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),Temperature (Celcius),
2.324,0.14,0.28,0.42,-199.316,-199.219,-199.121,0.002928,0.005856,0.008784,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
2.724,0.14,0.28,0.42,-199.316,-199.219,-199.121,0.002928,0.005856,0.008784,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
3.124,0.21,0.42,0.63,-199.219,-199.121,-199.023,0.006588,0.013176,0.019764,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
3.524,0.21,0.42,0.63,-199.219,-199.121,-199.023,0.006588,0.013176,0.019764,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
3.924,0.21,0.42,0.63,-199.219,-199.121,-199.023,0.006588,0.013176,0.019764,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
4.324,0.28,0.56,0.84,-199.121,-199.023,-198.926,0.011712,0.023424,0.035136,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
4.724,0.28,0.56,0.84,-199.121,-199.023,-198.926,0.011712,0.023424,0.035136,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
5.124,0.35,0.7,1.05,-199.023,-198.926,-198.828,0.0183,0.0366,0.0549,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
5.524,0.35,0.7,1.05,-199.023,-198.926,-198.828,0.0183,0.0366,0.0549,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
5.924,0.35,0.7,1.05,-199.023,-198.926,-198.828,0.0183,0.0366,0.0549,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
6.324,0.42,0.84,1.26,-198.926,-198.828,-198.73,0.026352,0.052704,0.079056,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
6.724,0.42,0.84,1.26,-198.926,-198.828,-198.73,0.026352,0.052704,0.079056,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
7.124,0.49,0.98,1.47,-198.828,-198.73,-198.632,0.035868,0.071736,0.107604,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
7.524,0.49,0.98,1.47,-198.828,-198.73,-198.632,0.035868,0.071736,0.107604,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
7.924,0.49,0.98,1.47,-198.828,-198.73,-198.632,0.035868,0.071736,0.107604,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
8.324,0.56,1.12,1.68,-198.73,-198.632,-198.535,0.046848,0.093696,0.140544,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
8.724,0.56,1.12,1.68,-198.73,-198.632,-198.535,0.046848,0.093696,0.140544,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
9.124,0.63,1.26,1.89,-198.632,-198.535,-198.437,0.059292,0.118584,0.177876,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
9.524,0.63,1.26,1.89,-198.632,-198.535,-198.437,0.059292,0.118584,0.177876,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
9.924,0.63,1.26,1.89,-198.632,-198.535,-198.437,0.059292,0.118584,0.177876,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
10.324,0.7,1.4,2.1,-198.535,-198.437,-198.339,0.0732,0.1464,0.2196,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
10.724,0.7,1.4,2.1,-198.535,-198.437,-198.339,0.0732,0.1464,0.2196,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
11.124,0.77,1.54,2.31,-198.437,-198.339,-198.242,0.088572,0.177144,0.265716,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
11.524,0.77,1.54,2.31,-198.437,-198.339,-198.242,0.088572,0.177144,0.265716,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
11.924,0.77,1.54,2.31,-198.437,-198.339,-198.242,0.088572,0.177144,0.265716,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
12.324,0.84,1.68,2.52,-198.339,-198.242,-198.144,0.105408,0.210816,0.316224,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
12.724,0.84,1.68,2.52,-198.339,-198.242,-198.144,0.105408,0.210816,0.316224,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
13.124,0.91,1.82,2.73,-198.242,-198.144,-198.046,0.123708,0.247416,0.371124,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
13.524,0.91,1.82,2.73,-198.242,-198.144,-198.046,0.123708,0.247416,0.371124,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
13.924,0.91,1.82,2.73,-198.242,-198.144,-198.046,0.123708,0.247416,0.371124,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
14.324,0.98,1.96,2.94,-198.144,-198.046,-197.949,0.143472,0.286944,0.430416,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
14.724,0.98,1.96,2.94,-198.144,-198.046,-197.949,0.143472,0.286944,0.430416,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
15.124,1.05,2.1,3.15,-198.046,-197.949,-197.851,0.1647,0.3294,0.4941,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
15.524,1.05,2.1,3.15,-198.046,-197.949,-197.851,0.1647,0.3294,0.4941,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
15.924,1.05,2.1,3.15,-198.046,-197.949,-197.851,0.1647,0.3294,0.4941,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
16.324,1.12,2.24,3.36,-197.949,-197.851,-197.753,0.187392,0.374784,0.562176,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
16.724,1.12,2.24,3.36,-197.949,-197.851,-197.753,0.187392,0.374784,0.562176,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
17.124,1.19,2.38,3.57,-197.851,-197.753,-197.656,0.211548,0.423096,0.634644,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
17.524,1.19,2.38,3.57,-197.851,-197.753,-197.656,0.211548,0.423096,0.634644,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
17.924,1.19,2.38,3.57,-197.851,-197.753,-197.656,0.211548,0.423096,0.634644,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
18.324,1.26,2.52,3.78,-197.753,-197.656,-197.558,0.237168,0.474336,0.711504,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
18.724,1.26,2.52,3.78,-197.753,-197.656,-197.558,0.237168,0.474336,0.711504,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
19.124,1.33,2.66,3.99,-197.656,-197.558,-197.46,0.264252,0.528504,0.792756,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
19.524,1.33,2.66,3.99,-197.656,-197.558,-197.46,0.264252,0.528504,0.792756,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
19.924,1.33,2.66,3.99,-197.656,-197.558,-197.46,0.264252,0.528504,0.792756,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
20.324,1.4,2.8,4.2,-197.558,-197.46,-197.363,0.2928,0.5856,0.8784,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
20.724,1.4,2.8,4.2,-197.558,-197.46,-197.363,0.2928,0.5856,0.8784,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
21.124,1.47,2.94,4.41,-197.46,-197.363,-197.265,0.322812,0.645624,0.968436,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
21.524,1.47,2.94,4.41,-197.46,-197.363,-197.265,0.322812,0.645624,0.968436,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
21.924,1.47,2.94,4.41,-197.46,-197.363,-197.265,0.322812,0.645624,0.968436,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
22.324,1.54,3.08,4.62,-197.363,-197.265,-197.167,0.354288,0.708576,1.06286,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
22.724,1.54,3.08,4.62,-197.363,-197.265,-197.167,0.354288,0.708576,1.06286,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
23.124,1.61,3.22,4.83,-197.265,-197.167,-197.07,0.387228,0.774456,1.16168,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
23.524,1.61,3.22,4.83,-197.265,-197.167,-197.07,0.387228,0.774456,1.16168,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
23.924,1.61,3.22,4.83,-197.265,-197.167,-197.07,0.387228,0.774456,1.16168,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
24.324,1.68,3.36,5.04,-197.167,-197.07,-196.972,0.421632,0.843264,1.2649,0.00406,0.0029,0.00174,5,5.25,5.5,5.75,5.75,6,6.25,6.5,6.5,6.75,7,7.25,7.25,7.5,7.75,8,
